"","pf_rol","pf_ss","pf_movement","pf_religion","pf_association","pf_expression","pf_identity","ef_government","ef_legal","ef_money","ef_trade","ef_regulation"
"Fiji",-0.248710821576047,0.557871048077839,0.242592787835453,1.04075101789657,0.296891785031971,-0.01406370278871,0.978768620737987,-0.403680741020456,0.560329486831925,-1.28522790246309,-0.358357578718915,1.76928321365823
"Finland",2.16524507265342,1.22167463591611,0.847208659469119,0.270865693991823,1.14199962920249,1.22272052221319,0.735991375240531,-1.90473898257536,2.33862419160701,0.800224943893904,1.02952176218863,0.681437341666831
"France",1.02002701408286,1.13987117879276,0.847208659469119,-0.112378771402936,1.14199962920249,0.96505714179833,0.978768620737987,-1.84840989564645,1.114308794524,0.885797183731015,0.983013084641875,0.429565930805169
"Gabon",-0.531203157283317,-0.0227575833686148,-2.78048656960734,0.887913387465674,-1.15470168388085,-0.934290060618135,-1.1792513393473,-0.194824271754171,-0.856120952853919,-1.18284565986826,-1.12404112849707,-0.22390343384681
"Gambia, The",-0.690238534853684,-1.34152176400401,-0.362023083435443,0.0773809236593097,-0.65605540627802,-2.96430940659092,-0.639746349245051,0.810273540579173,0.177628293605265,0.72137800147058,0.389071217488977,-0.00458826633621537
"Georgia",0.170640148984684,0.420729376806961,0.242592787835453,-0.167378406032958,0.567824300931658,0.582242976946237,0.331362632744772,0.857729435815527,0.717540843930591,0.701635475085964,1.30938384346968,1.42857409660696
"Germany",1.95922736052603,1.22492128568394,0.847208659469119,0.150348566780823,1.14199962920249,1.03131343947795,0.978768620737987,-0.81879991355625,1.45146665267276,0.885482849142193,0.873166139151042,0.942249977661897
"Ghana",0.392252435751647,0.658426957440793,0.847208659469119,0.377359010404339,0.1850407487511,0.655861085547855,0.169511135746468,0.437839875751704,0.0929362217561438,-0.908702645354492,-0.443950085329603,0.1307729112741
"Greece",0.418307655414997,0.562640029023998,0.847208659469119,-0.0707455820780705,1.14199962920249,0.648499274625854,-0.0732661097509876,-1.71824631753225,0.368082873997674,-0.146786989202531,0.560018043855214,-0.56501612167081
"Guatemala",-0.686526971230095,-1.22026167734374,0.847208659469119,0.607218041382054,0.1850407487511,-0.141905824313541,-0.235117606749291,2.48657759816401,-0.542915177785328,0.941173390300359,0.996477651441273,-0.45290857465084
"Guinea",-1.21802567825036,-0.729172239722246,-1.57125482670277,0.648851230706919,0.759216077021937,-1.17580173598238,-1.71875632912584,0.0511843404282853,-1.29631221684121,-0.212988087940726,-1.64540877447382,-0.136892726317921
"Guinea-Bissau",-1.4148480213587,-0.749004768762727,0.847208659469119,1.42531021605288,-0.060047244120223,-0.374792435493193,0.43926363063574,-1.44767109782207,-0.909890129543556,-1.58781721136195,-1.08749280116308,-1.02440382007752
"Guyana",-0.273688426314856,-0.482573122273562,0.847208659469119,1.01609978704832,0.00964774539424905,0.243599677007758,-0.639746349245051,-0.456514065115121,-0.53531193840667,0.0623343932428394,-0.513066583635243,-0.525398809856271
"Haiti",-0.935082821564136,-0.21977727586808,0.847208659469119,0.561202410701962,1.14199962920249,0.331941407453378,-0.0328032355014116,1.59009542970459,-1.77106114933335,-0.734578921332385,0.411807587974199,-0.126346810779209
"Honduras",-1.17266916118113,-1.49675781972495,0.242592787835453,0.761918208560642,0.567824300931658,0.169981568406139,0.169511135746468,1.6731125157966,-1.16104094270444,0.752343741403596,0.168968499120047,-0.18634061964422
"Hong Kong",1.2447520070227,0.92842959173774,0.847208659469119,0.679528317826979,0.376432524841379,0.60432840971224,0.735991375240531,1.71892656616517,1.76325023439055,0.949390192229708,1.95421114123576,2.35394455512164
